species,study_site,leaf_cohort,gmin,units,area
Picea abies,Kasmu,C,1.38,10^5 ms-1,allsided
Picea abies,Kivioli,C,1.56,10^5 ms-1,allsided
Picea abies,Vigala,C,1.54,10^5 ms-1,allsided
Picea abies,Vaatsa,C,1.43,10^5 ms-1,allsided
Picea abies,Rakke,C,1.73,10^5 ms-1,allsided
Picea abies,Voore,C,2.31,10^5 ms-1,allsided
Picea abies,Tipu,C,1.72,10^5 ms-1,allsided
Picea abies,Aakre,C,1.47,10^5 ms-1,allsided
Picea abies,Tartu,C,1.81,10^5 ms-1,allsided
Picea abies,Alska,C,2.73,10^5 ms-1,allsided
Picea abies,Haanja,C,1.29,10^5 ms-1,allsided
Picea abies,Varska,C,1.49,10^5 ms-1,allsided
Picea abies,Kasmu,C+1,2.18,10^5 ms-1,allsided
Picea abies,Kivioli,C+1,3.45,10^5 ms-1,allsided
Picea abies,Vigala,C+1,1.66,10^5 ms-1,allsided
Picea abies,Vaatsa,C+1,2.99,10^5 ms-1,allsided
Picea abies,Rakke,C+1,2.84,10^5 ms-1,allsided
Picea abies,Voore,C+1,3.86,10^5 ms-1,allsided
Picea abies,Tipu,C+1,2.69,10^5 ms-1,allsided
Picea abies,Aakre,C+1,2.22,10^5 ms-1,allsided
Picea abies,Tartu,C+1,1.65,10^5 ms-1,allsided
Picea abies,Alska,C+1,3.5,10^5 ms-1,allsided
Picea abies,Haanja,C+1,1.87,10^5 ms-1,allsided
Picea abies,Varska,C+1,1.97,10^5 ms-1,allsided
Picea abies,Kasmu,C+2,2.73,10^5 ms-1,allsided
Picea abies,Kivioli,C+2,2.8,10^5 ms-1,allsided
Picea abies,Vigala,C+2,1.87,10^5 ms-1,allsided
Picea abies,Vaatsa,C+2,3.42,10^5 ms-1,allsided
Picea abies,Rakke,C+2,2.46,10^5 ms-1,allsided
Picea abies,Voore,C+2,4.04,10^5 ms-1,allsided
Picea abies,Tipu,C+2,3.6,10^5 ms-1,allsided
Picea abies,Aakre,C+2,2.29,10^5 ms-1,allsided
Picea abies,Tartu,C+2,2.58,10^5 ms-1,allsided
Picea abies,Alska,C+2,4,10^5 ms-1,allsided
Picea abies,Haanja,C+2,2.43,10^5 ms-1,allsided
Picea abies,Varska,C+2,1.81,10^5 ms-1,allsided
Picea abies,Kasmu,C+3,3.61,10^5 ms-1,allsided
Picea abies,Kivioli,C+3,4.63,10^5 ms-1,allsided
Picea abies,Vigala,C+3,2.85,10^5 ms-1,allsided
Picea abies,Vaatsa,C+3,5.38,10^5 ms-1,allsided
Picea abies,Rakke,C+3,3.85,10^5 ms-1,allsided
Picea abies,Voore,C+3,5.05,10^5 ms-1,allsided
Picea abies,Tipu,C+3,7.07,10^5 ms-1,allsided
Picea abies,Aakre,C+3,3.72,10^5 ms-1,allsided
Picea abies,Tartu,C+3,3.68,10^5 ms-1,allsided
Picea abies,Alska,C+3,4.88,10^5 ms-1,allsided
Picea abies,Haanja,C+3,2.85,10^5 ms-1,allsided
Picea abies,Varska,C+3,3.24,10^5 ms-1,allsided
