"species","Genotype","Date","gmin","units","area"
"Sorghum bicolor","RT x 2536","July 29",7.6,"mmol m-2 s-1","projected"
"Sorghum bicolor","B4R","July 29",8.95,"mmol m-2 s-1","projected"
"Sorghum bicolor","RT x 430","July 29",7.9,"mmol m-2 s-1","projected"
"Sorghum bicolor","RTAM428","July 29",8.32,"mmol m-2 s-1","projected"
"Sorghum bicolor","BT x 398","July 29",11.2,"mmol m-2 s-1","projected"
"Sorghum bicolor","RT x 7078","July 29",8.69,"mmol m-2 s-1","projected"
"Sorghum bicolor","M35-I","July 29",13.6,"mmol m-2 s-1","projected"
"Sorghum bicolor","RTAM2566","July 29",7.39,"mmol m-2 s-1","projected"
"Sorghum bicolor","RT x 7000","July 29",7.94,"mmol m-2 s-1","projected"
"Sorghum bicolor","BT x 3197","July 29",8.86,"mmol m-2 s-1","projected"
"Sorghum bicolor","SC0170-6-17","July 29",9.83,"mmol m-2 s-1","projected"
"Sorghum bicolor","BT x 623","July 29",1,"mmol m-2 s-1","projected"
"Sorghum bicolor","RT x 433","July 29",10.4,"mmol m-2 s-1","projected"
"Sorghum bicolor","BT x 378","July 29",10.4,"mmol m-2 s-1","projected"
"Sorghum bicolor","Combine Shallu","July 30",14,"mmol m-2 s-1","projected"
"Sorghum bicolor","RS610","July 30",12.8,"mmol m-2 s-1","projected"
"Sorghum bicolor","Wheatland 'bloomless'","July 30",13.4,"mmol m-2 s-1","projected"
"Sorghum bicolor","RT x 435","July 30",8.53,"mmol m-2 s-1","projected"
"Sorghum bicolor","RT x 433","July 30",10.2,"mmol m-2 s-1","projected"
"Sorghum bicolor","77CS3","July 30",10.5,"mmol m-2 s-1","projected"
"Sorghum bicolor","BT x 399","July 30",11.8,"mmol m-2 s-1","projected"
"Zea mays","Silvermine","July 30",8.86,"mmol m-2 s-1","projected"
"Zea mays","F140045-1","July 30",12,"mmol m-2 s-1","projected"
"Zea mays","Golden Queen","July 30",13.9,"mmol m-2 s-1","projected"
"Pennisetum americanum","Pearl hybrid","July 30",14.7,"mmol m-2 s-1","projected"
"Pennisetum americanum","Browntop","July 30",10.6,"mmol m-2 s-1","projected"
"Sorghum bicolor","RT x 2536","August 8",7.81,"mmol m-2 s-1","projected"
"Sorghum bicolor","RS610","August 8",15.5,"mmol m-2 s-1","projected"
"Sorghum bicolor","RT x 7078","August 8",10.3,"mmol m-2 s-1","projected"
"Sorghum bicolor","Wheatland 'bloomless'","August 8",14.7,"mmol m-2 s-1","projected"
"Sorghum bicolor","M35-I","August 8",13.1,"mmol m-2 s-1","projected"
"Sorghum bicolor","RT x 435","August 8",8.15,"mmol m-2 s-1","projected"
"Zea mays","Silvermine","August 8",10.5,"mmol m-2 s-1","projected"
"Zea mays","F140045-1","August 8",11.6,"mmol m-2 s-1","projected"
"Pennisetum americanum","Pearl hybrid","August 8",14.4,"mmol m-2 s-1","projected"
"Pennisetum americanum","Browntop","August 8",11.1,"mmol m-2 s-1","projected"
"Sorghum bicolor","RT x 2536","August 12",8.74,"mmol m-2 s-1","projected"
"Sorghum bicolor","B4R","August 12",12,"mmol m-2 s-1","projected"
"Sorghum bicolor","RT x 430","August 12",8.19,"mmol m-2 s-1","projected"
"Sorghum bicolor","Combine Shallu","August 12",14.4,"mmol m-2 s-1","projected"
"Sorghum bicolor","RTAM428","August 12",12.4,"mmol m-2 s-1","projected"
"Sorghum bicolor","BT x 398","August 12",16.7,"mmol m-2 s-1","projected"
"Sorghum bicolor","RS610","August 12",11.9,"mmol m-2 s-1","projected"
"Sorghum bicolor","RT x 7078","August 12",13.2,"mmol m-2 s-1","projected"
"Sorghum bicolor","Wheatland 'bloomless'","August 12",16.6,"mmol m-2 s-1","projected"
"Sorghum bicolor","M35-I","August 12",15.9,"mmol m-2 s-1","projected"
"Sorghum bicolor","RTAM2566","August 12",12.3,"mmol m-2 s-1","projected"
"Sorghum bicolor","RT x 7000","August 12",12.8,"mmol m-2 s-1","projected"
"Sorghum bicolor","RT x 435","August 12",11.3,"mmol m-2 s-1","projected"
"Sorghum bicolor","SC0170-6-17","August 12",11.1,"mmol m-2 s-1","projected"
"Sorghum bicolor","BT x 399","August 12",13.9,"mmol m-2 s-1","projected"
"Sorghum bicolor","RT x 2536","August 26",8.44,"mmol m-2 s-1","projected"
"Sorghum bicolor","RT x 430","August 26",10.1,"mmol m-2 s-1","projected"
"Sorghum bicolor","BT x 398","August 26",11.2,"mmol m-2 s-1","projected"
"Sorghum bicolor","RS610","August 26",10.3,"mmol m-2 s-1","projected"
"Sorghum bicolor","Wheatland 'bloomless'","August 26",14.2,"mmol m-2 s-1","projected"
"Sorghum bicolor","M35-I","August 26",15.2,"mmol m-2 s-1","projected"
"Sorghum bicolor","RTAM2566","August 26",7.9,"mmol m-2 s-1","projected"
"Sorghum bicolor","RT x 435","August 26",9.66,"mmol m-2 s-1","projected"
"Sorghum bicolor","BT x 3197","August 26",11.6,"mmol m-2 s-1","projected"
"Sorghum bicolor","BT x 623","August 26",9.45,"mmol m-2 s-1","projected"
"Sorghum bicolor","RT x 433","August 26",12.8,"mmol m-2 s-1","projected"
"Sorghum bicolor","BT x 378","August 26",10.9,"mmol m-2 s-1","projected"
"Sorghum bicolor","77CS3","August 26",10.4,"mmol m-2 s-1","projected"
