species,leafage,gmin,area,units
E. saligna,young,6.16016173,projected,mmol m-2 s-1
E. saligna,old,14.53449161,projected,mmol m-2 s-1
E. saligna,old,14.23760373,projected,mmol m-2 s-1
E. saligna,young,17.72005512,projected,mmol m-2 s-1
E. saligna,old,1.748808621,projected,mmol m-2 s-1
E. saligna,old,13.24324116,projected,mmol m-2 s-1
E. saligna,young,14.21722455,projected,mmol m-2 s-1
E. saligna,old,28.01863863,projected,mmol m-2 s-1
E.sideroxylon,young,4.170981676,projected,mmol m-2 s-1
E.sideroxylon,old,37.90846438,projected,mmol m-2 s-1
E.sideroxylon,young,11.55416868,projected,mmol m-2 s-1
E.sideroxylon,old,9.476345529,projected,mmol m-2 s-1
E.sideroxylon,young,10.20144745,projected,mmol m-2 s-1
E.sideroxylon,old,43.98055228,projected,mmol m-2 s-1
E.sideroxylon,young,20.47589632,projected,mmol m-2 s-1
E.sideroxylon,old,15.17055344,projected,mmol m-2 s-1
E.sideroxylon,young,8.225330166,projected,mmol m-2 s-1
E.sideroxylon,old,7.210081697,projected,mmol m-2 s-1
E.cladocalyx,young,13.82705856,projected,mmol m-2 s-1
E.cladocalyx,old,5.221336213,projected,mmol m-2 s-1
E.cladocalyx,old,26.4564742,projected,mmol m-2 s-1
E.cladocalyx,old,5.848195879,projected,mmol m-2 s-1
E.cladocalyx,young,7.843207515,projected,mmol m-2 s-1
E.cladocalyx,old,7.079919579,projected,mmol m-2 s-1
